Id,BlanketOrderId,BlanketId,RollBlanketUsage,RollBlanketDefect,TotalCost,BarCost,AdhesiveCost,RollBlanketCost,IsCut,IsSideSealed,IsBarPrepared,IsAdhesiveTapeApplied,IsBarMounted,IsBarHeatPressed,IsBarPullOffTested,IsQCAndMarked,IsPackaged,IsRejected,RejectedDate,IsJobScheduled,IsFinished,FinishedDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
93,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:20,,
94,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:24,,
95,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:34,,
96,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:39,,
97,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:44,,
98,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:50,,
99,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:55,,
100,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:35:02,,
101,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:35:07,,
102,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:35:13,,
103,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:36:11,,
104,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:36:20,,2015-01-17 09:36:24
105,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:37:47,,
106,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:37:54,,
107,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:01,,
