Id,NomorSurat,ContactId,CurrencyId,Rate,AmountReceivable,Tax,DPP,InvoiceDate,CreatedAt,UpdatedAt,DeletedAt
128,002.14.87583506,287,1,1,1980000,198000,1782000,2014-10-09,2014-12-19 12:04:01,,
129,002.14.87584078,287,1,1,1980000,198000,1782000,2014-11-19,2014-12-19 12:04:01,,
130,002.14.87583859,315,1,1,14751000,1475100,13275900,2014-11-04,2014-12-19 12:04:01,,
131,002.14.87583869,286,1,1,5061980,506198,4555782,2014-11-04,2014-12-19 12:04:01,,
132,002.14.87584067,281,1,1,1078000,107800,970200,2014-11-18,2014-12-19 12:04:01,,
133,000-14.41083622,108,1,1,4295500,429550,3865950,2014-02-24,2014-12-19 12:04:01,,
134,000-14.41083811,108,1,1,15745400,1574540,14170860,2014-03-10,2014-12-19 12:04:01,,
135,000-14.41084025,108,1,1,29920000,2992000,26928000,2014-03-26,2014-12-19 12:04:01,,
136,000-14.41084026,108,1,1,8580000,858000,7722000,2014-03-26,2014-12-19 12:04:01,,
137,000-14.41084346,108,1,1,29920000,2992000,26928000,2014-04-23,2014-12-19 12:04:01,,
138,001-14.39334933,108,1,1,9438000,943800,8494200,2014-05-12,2014-12-19 12:04:01,,
139,002.14.87584024,2,2,12148,2778.93,277.89,2526.3,2014-11-14,2014-12-19 12:04:02,,
140,002.14.87583537,4,2,12172,3532.1,353.21,3211,2014-10-10,2014-12-19 12:04:02,,
141,002.14.87583538,4,2,12172,4697,469.7,4270,2014-10-10,2014-12-19 12:04:02,,
142,002.14.87583829,4,2,12038,185.9,18.59,169,2014-10-31,2014-12-19 12:04:02,,
143,002.14.87583830,4,2,12038,2788.5,278.85,2535,2014-10-31,2014-12-19 12:04:02,,
144,002.14.87583831,4,2,12038,4275.7,427.57,3887,2014-10-31,2014-12-19 12:04:02,,
145,002.14.87583832,4,2,12038,4697,469.7,4270,2014-10-31,2014-12-19 12:04:02,,
146,002.14.87583980,4,2,12109,3355,335.5,3050,2014-11-11,2014-12-19 12:04:02,,
147,002.14.87583981,4,2,12109,1201.2,120.12,1092,2014-11-11,2014-12-19 12:04:02,,
148,002.14.87583982,4,2,12109,1859,185.9,1690,2014-11-11,2014-12-19 12:04:02,,
149,002.14.87583983,4,2,12109,1859,185.9,1690,2014-11-11,2014-12-19 12:04:02,,
150,002.14.87584091,4,2,12206,1859,185.9,1690,2014-11-19,2014-12-19 12:04:02,,
151,002.14.87584092,4,2,12206,3718,371.8,3380,2014-11-19,2014-12-19 12:04:02,,
152,002.14.87584093,4,2,12206,4697,469.7,4270,2014-11-19,2014-12-19 12:04:02,,
153,002.14.87584094,4,2,12206,1387.1,138.71,1261,2014-11-19,2014-12-19 12:04:02,,
154,002.14.87584138,4,2,12206,746.9,74.69,679,2014-11-24,2014-12-19 12:04:02,,
155,002.14.87584139,4,3,15243.57,744.92,74.49,677.2,2014-11-24,2014-12-19 12:04:03,,
156,002.14.87583472,979,3,15323.08,66.6,0,66.6,2014-10-07,2014-12-19 12:04:03,,
157,002.14.87583765,979,2,12038,1801.8,180.18,1638,2014-10-29,2014-12-19 12:04:03,,
158,002.14.87583766,979,2,12038,712.8,71.28,648,2014-10-29,2014-12-19 12:04:03,,
159,002.14.87583907,979,2,12109,693,69.3,630,2014-11-06,2014-12-19 12:04:03,,
160,002.14.87583908,979,3,15224.37,216.59,21.66,196.9,2014-11-06,2014-12-19 12:04:03,,
161,002.14.87584167,979,2,12158,82.5,8.25,75,2014-11-26,2014-12-19 12:04:03,,
162,002.14.87584168,979,2,12158,1801.8,180.18,1638,2014-11-26,2014-12-19 12:04:03,,
163,002.14.87584169,979,2,12158,550,55,500,2014-11-26,2014-12-19 12:04:03,,
164,002.14.87584170,979,3,15160.27,58.96,5.9,53.6,2014-11-26,2014-12-19 12:04:03,,
165,002.14.87584207,979,2,12158,1155,115.5,1050,2014-11-27,2014-12-19 12:04:03,,
166,1431,4,1,1,906185.28,90618.52,815566.75,2010-05-25,2014-12-19 12:04:03,,
167,002.14.87583431,978,3,15323.08,305.5,0,305.5,2014-10-03,2014-12-19 12:04:03,,
168,002.14.87583464,978,3,15323.08,139,0,139,2014-10-07,2014-12-19 12:04:03,,
169,002.14.87583468,978,2,12020,386.1,38.61,351,2014-10-07,2014-12-19 12:04:03,,
170,002.14.87583469,978,2,12020,1100,110,1000,2014-10-07,2014-12-19 12:04:04,,
171,002.14.87583470,978,2,12020,385,38.5,350,2014-10-07,2014-12-19 12:04:04,,
172,002.14.87583522,978,2,12172,78.76,7.88,71.6,2014-10-10,2014-12-19 12:04:04,,
173,002.14.87583523,978,2,12172,247.5,24.75,225,2014-10-10,2014-12-19 12:04:04,,
174,002.14.87583524,978,2,12172,258.5,25.85,235,2014-10-10,2014-12-19 12:04:04,,
